192	228	1
252	282	1
320	353	1
399	438	1
490	519	1
552	584	1
617	642	1
681	712	1
747	777	1
908	959	1
987	1026	1
1062	1082	1
1110	1151	1
1174	1206	1
1248	1280	1
1313	1352	1
1383	1409	1
1437	1453	1
1463	1482	1
1589	1632	1
1654	1687	1
1715	1745	1
1771	1805	1
1876	1905	1
1932	1963	1
1983	2008	1
2021	2039	1
2057	2097	1
2301	2326	1
2358	2389	1
2435	2451	1
2482	2512	1
2596	2627	1
2665	2696	1
2739	2804	1
2839	2858	1
2878	2903	1
2928	2955	1
2980	2999	1
3198	3217	1
3246	3274	1
3304	3393	1
3407	3437	1
3445	3482	1
3495	3514	1
3536	3564	1
3829	3856	1
3888	3922	1
3938	3977	1
4003	4038	1
4060	4094	1
4118	4151	1
4220	4251	1
4276	4297	1
4345	4368	1
4755	4774	1
4782	4890	1
4925	4948	1
4999	5015	1
5128	5162	1
5219	5236	1
5318	5343	1
5435	5472	1
5706	5736	1
6178	6202	1
6291	6317	1
6338	6368	1
6392	6427	1
6444	6464	1
6556	6593	1
6657	6694	1
6761	6777	1
6825	6859	1
6925	6964	1
7005	7044	1
7085	7110	1
7149	7174	1
7215	7244	1
7280	7299	1
7444	7465	1
7476	7515	1
7545	7576	1
7635	7664	1
7711	7743	1
7784	7820	1
7842	7867	1
7908	7941	1
7963	7997	1
8015	8047	1
8084	8115	1
8282	8306	1
8336	8367	1
8399	8442	1
8493	8519	1
8569	8607	1
8647	8685	1
8740	8772	1
8819	8854	1
8995	9014	1
9139	9170	1
9549	9575	1
9608	9637	1
9668	9702	1
9719	9763	1
9775	9817	1
9860	9902	1
9973	9999	1
10028	10052	1
10079	10117	1
10154	10195	1
10223	10250	1
10325	10344	1
10441	10480	1
10501	10574	1
10581	10641	1
10663	10716	1
10730	10774	1
11077	11111	1
11152	11187	1
11231	11270	1
11303	11336	1
11375	11397	1
11433	11460	1
11474	11510	1
11547	11589	1
11794	11822	1
11857	11885	1
11941	11972	1
12091	12122	1
12169	12190	1
12274	12301	1
12352	12386	1
12432	12456	1
12495	12533	1
12575	12597	1
12859	12888	1
12909	12944	1
12984	13018	1
13036	13065	1
13114	13150	1
13179	13202	1
13221	13248	1
13277	13302	1
13333	13370	1
13397	13427	1
