7866	7953	0
8119	8159	0
8163	8187	0
8850	8931	0
9160	9229	0
9442	9507	0
9641	9723	0
10098	10186	0
10386	10438	0
11266	11355	0
11551	11587	0
11822	11874	0
12331	12419	0
12789	12878	0
13009	13053	0
13229	13261	0
13505	13582	0
13688	13764	0
13941	14025	0
14295	14384	0
14501	14529	0
14783	14852	0
15255	15331	0
15465	15528	0
15733	15824	0
15920	15977	0
16130	16182	0
16583	16630	0
19161	19181	0
19215	19269	0
19472	19498	0
20806	20864	0
20997	21018	0
21767	21818	0
23406	23438	0
23640	23687	0
23851	23934	0
24406	24523	0
24693	24779	0
24979	25004	0
25482	25583	0
37271	37318	0
38258	38328	0
39257	39311	0
39528	39603	0
39731	39799	0
40397	40450	0
40664	40745	0
